file_name,entropy,uncompressed_size,npz_compression_ratio,npz_compressed_image_size
n02704792_11141,7.391245434307872,600000,1.446522078748662,414788
n01748264_4871,7.735559345820525,483840,1.1999702388333622,403210
n03980874_2964,7.770376882734936,509490,1.41525,360000
n02106030_16817,7.233581444717345,501000,1.3803211933028248,362959
n04252225_6877,7.872874784045027,562500,1.1361203459461207,495106
n01807496_8148,6.870819851398528,94905,1.3644205471771353,69557
n01440764_7889,7.783131689254365,910020,1.2321344432228678,738572
n04235860_6325,7.812186097317463,562500,1.104702201745135,509187
n02093991_3863,6.858438819414201,562500,1.42541108855794,394623
n03250847_20353,7.624125456446649,732000,1.2235891949719175,598240
n03854065_6498,7.5654487531748575,291456,1.1408753381062917,255467
n03240683_14762,6.4521413855317435,502500,2.3996332500823754,209407
n03000684_293,7.439410674655184,499500,1.10416998249244,452376
n02667093_680,7.300970503554836,140250,1.5966711825043545,87839
n02105056_7972,5.777192341070398,744000,3.813429010763711,195100
n12620546_523,7.127728608494073,724500,1.344091008596988,539026
n04612504_25492,4.399892467139916,457920,3.5649391596795663,128451
n03929660_75389,7.406048838572046,129600,1.1388500777686974,113799
n02701002_3601,7.6056410807860555,562500,1.260775427318818,446154
n04204238_9657,7.2797126939272685,499500,1.2640065591691718,395172
n09193705_9949,7.610281316030743,685881,1.2590909841888744,544743
n03930630_11353,7.606898383704688,508500,1.5498323681804327,328100
n13054560_906,7.750718946961007,559500,1.0662423295346266,524740
n02389026_6355,7.898068618280124,428265,1.4894930510148718,287524
n03721384_28839,7.7348811296359035,562500,1.5967548264575888,352277
n11939491_6519,7.687280165681845,562500,1.040990023151618,540351
n02093256_6974,7.64901853571851,498000,1.0847924299786091,459074
n07613480_12605,7.526538179057819,562500,1.1869692928406232,473896
n09428293_37909,7.1520733613623335,499500,1.6981478459530026,294144
n04074963_18322,7.471418096881411,562500,1.1664655161687674,482226
n02486410_10765,7.282120420499036,1440000,1.64764249819217,873976
n04209239_15855,6.264533278230989,679800,3.8757789471883783,175397
n04328186_4529,7.742351355627934,357600,1.7391304347826086,205620
n02233338_2033,7.849467360075126,1179648,1.1318749538239525,1042207
n02795169_11381,7.785331695052605,562500,1.0468212922520337,537341
n02091244_1455,7.359684153369231,260100,1.197172077951966,217262
n01820546_3610,7.514699503191845,562500,1.2364349349470367,454937
n03954731_3534,7.526379289046356,120000,1.5007879136546687,79958
n01943899_632,7.5334041422029525,453000,1.1866870996895753,381735
n03095699_26545,7.4899989613079825,562500,1.6392773773893379,343139
n02114855_15277,7.4447734758376845,562500,1.0789462579266584,521342
n04501370_1753,7.054181310426989,562500,1.4647789030173144,384017
n09229709_13075,6.52509305339508,499500,1.5261647891326067,327291
n03874599_15234,7.912278432278265,517500,1.0674218719382524,484813
n03937543_10450,7.5260102818724235,505500,1.5277534317784802,330878
n09229709_7417,7.729331036495169,501000,1.122113246087722,446479
n02085936_18602,7.7303445187389235,518400,1.4666232866054632,353465
n03888257_20151,7.630125734248346,502500,1.3221387864213057,380066
n02494079_7209,4.675743376396871,589500,3.431195650908583,171806
n02071294_93,7.046452857357193,496500,1.8086179827261502,274519
n02699494_43790,7.722738866893924,498000,1.3719197234121683,362995
n01496331_3441,7.359935515880551,501000,1.2009722841486041,417162
n04133789_14501,3.0104369107263196,750000,5.186363322038587,144610
n03208938_10543,7.71245260542687,499500,1.248478455935834,400087
n02128757_19800,7.818271647510064,508500,1.1354476253849022,447841
n02127052_1959,7.761074371509151,1279200,1.290074034032863,991571
n03100240_672,7.828974206283197,562500,1.0887490128675616,516648
n03498962_4586,6.535588123410499,32160,1.7108203000319182,18798
n04033995_7571,7.697951746146415,618000,1.0443511250433033,591755
n02965783_5578,7.724732230661455,562500,1.2019924226397676,467973
n02100583_8156,7.059134208990964,564000,1.5342805611549541,367599
n04259630_18318,7.48014568130741,562500,1.235134470462171,455416
n15075141_3416,7.746998112336927,499500,1.1250152029081475,443994
n02107908_8070,7.203176761203661,460800,1.8568590552101256,248161
n02951358_12234,6.781591329561077,499500,2.0497689649795228,243686
n02108000_1281,7.572129529205246,61440,1.6590608376313019,37033
n01740131_1184,7.7176084310675765,619500,1.0549367463673223,587239
